date,entity_id,brand,category,marker_type,marker_label,shift_strength,price_index,demand_index,sentiment_index,search_index,ad_index,event_severity_score,combined_marker_severity,event_explanation,narrative
2025-01-01,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0.0,65.2,51.835,0.655,65.6,57.0,0.8460369639981989,0.8460369639981989,sentiment dip + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-02,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0.0,65.49,51.96,0.655,65.6,49.5,0.9414505070798858,0.9414505070798858,sentiment dip + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-03,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0.0,65.53,49.83,0.651,62.2,55.3,1.0276342108651317,1.7847815281697936,sentiment dip + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-04,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0.0,65.31,45.83,0.642,56.5,45.3,1.5279504691803327,1.5279504691803327,sentiment dip + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-05,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0.0,65.55,47.92999999999999,0.654,56.2,52.4,1.187587102647358,1.187587102647358,sentiment dip + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-06,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0.0,65.52,45.769999999999996,0.658,53.4,40.4,1.5575946250380348,1.5575946250380348,sentiment dip + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-08,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,-0.10053571428570507,65.55,65.27000000000001,0.663,97.3,69.4,1.873028865016039,1.873028865016039,demand jump + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-09,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,-0.19856825396824718,64.86,65.60999999999999,0.674,98.5,77.1,1.887279927968026,1.887279927968026,ad surge + demand jump + high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-10,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,-0.12014285714285222,65.39,66.14,0.672,100.0,74.0,1.9488921499860217,1.9488921499860217,ad surge + demand jump + high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-11,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0.07583896103896137,65.57,61.93000000000001,0.688,89.5,71.3,1.5118645669990185,2.1985039504992394,ad surge + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-12,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0.335961904761902,65.18,62.975,0.684,93.3,66.2,1.4550270104307,1.4550270104307,demand jump + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-13,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0.5923956043955982,65.52,62.169999999999995,0.69,91.6,70.6,1.494997775168133,1.494997775168133,ad surge + high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-14,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0.7638857142857134,65.11,62.915,0.713,91.7,68.3,1.295875535331184,1.295875535331184,demand jump + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-30,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,-0.4367571428571395,57.73,49.589999999999996,0.751,58.4,46.9,1.3714202602053738,1.3714202602053738,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-31,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,-0.24874285714285094,58.56,49.035,0.742,60.2,49.1,1.193012808522221,1.193012808522221,high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-01,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,-0.19392857142856457,58.2,48.925000000000004,0.74,57.7,47.2,1.276684941588765,1.276684941588765,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-02,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,-0.10488571428571447,58.14,54.24,0.738,65.0,56.2,0.9178882334092694,2.2419416616192884,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-03,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,-0.1408285714285782,58.05,50.215,0.752,63.2,49.5,1.235455444273613,1.235455444273613,high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-04,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,-0.16895714285714547,58.05,57.14999999999999,0.743,72.6,54.7,1.1469883331016695,1.6081632753429744,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-05,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,-0.10580000000000922,58.25,58.14,0.731,78.0,57.3,1.1606968352472367,1.1606968352472367,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-06,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,-0.09585714285714175,58.01,61.785,0.746,86.8,66.5,1.7412713220562204,1.7412713220562204,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-15,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,-0.20482857142857114,63.68,45.76499999999999,0.76,51.6,39.9,1.1619908791726565,1.769053436368905,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
