date,entity_id,brand,category,marker_type,marker_label,change_point,stat_event_flag,top_peak_flag,bottom_peak_flag,event_severity_score,combined_marker_severity,shift_strength,price_index,demand_index,sentiment_index,search_index,ad_index,trend_residual,trend_residual_z,event_explanation,narrative,alert_title
2025-01-14,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.295875535331184,1.295875535331184,0.7638857142857134,65.11,62.915,0.713,91.7,68.3,0.47714285714285865,0.9659333413056336,demand jump + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change.",SoundWave: anomaly detected
2025-01-30,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.3714202602053738,1.3714202602053738,-0.4367571428571395,57.73,49.589999999999996,0.751,58.4,46.9,-0.3228571428571385,-0.6606271756780143,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change.",SoundWave: anomaly detected
2025-01-31,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.193012808522221,1.193012808522221,-0.24874285714285094,58.56,49.035,0.742,60.2,49.1,-0.6942857142857122,-1.1824671683329027,high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change.",SoundWave: anomaly detected
2025-02-01,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.276684941588765,1.276684941588765,-0.19392857142856457,58.2,48.925000000000004,0.74,57.7,47.2,-0.6842857142857071,-0.9877291241567101,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change.",SoundWave: anomaly detected
2025-02-02,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,0.9178882334092694,2.2419416616192884,-0.10488571428571447,58.14,54.24,0.738,65.0,56.2,4.33428571428572,2.2419416616192884,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change.",SoundWave: anomaly detected
2025-02-03,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.235455444273613,1.235455444273613,-0.1408285714285782,58.05,50.215,0.752,63.2,49.5,-0.4442857142857122,-0.1785914872851224,high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change.",SoundWave: anomaly detected
2025-02-04,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.1469883331016695,1.6081632753429744,-0.16895714285714547,58.05,57.14999999999999,0.743,72.6,54.7,5.162857142857142,1.6081632753429744,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change.",SoundWave: anomaly detected
2025-02-05,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.1606968352472367,1.1606968352472367,-0.10580000000000922,58.25,58.14,0.731,78.0,57.3,3.6614285714285657,1.11977592276106,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change.",SoundWave: anomaly detected
2025-02-06,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.7412713220562204,1.7412713220562204,-0.09585714285714175,58.01,61.785,0.746,86.8,66.5,5.671428571428564,1.3120213657514916,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change.",SoundWave: anomaly detected
2025-02-15,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.1619908791726565,1.769053436368905,-0.20482857142857114,63.68,45.76499999999999,0.76,51.6,39.9,-2.3014285714285805,-1.769053436368905,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change.",SoundWave: anomaly detected
